,Unnamed: 0,fasta,scaffold,gene_position,start_position,end_position,strandedness,rank,ko_id,kegg_hit,peptidase_id,peptidase_family,peptidase_hit,peptidase_RBH,peptidase_identity,peptidase_bitScore,peptidase_eVal,pfam_hits,cazy_ids,cazy_hits,cazy_subfam_ec,cazy_best_hit,heme_regulatory_motif_count
14746,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_1081908_1,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_1081908,1,95,469,-1,E,,,,,,,,,,,,,,,0
14747,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_1081908_2,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_1081908,2,551,1294,-1,D,,,,,,,,,,IstB-like ATP binding protein [PF01695.20]; Bacterial dnaA  protein [PF00308.21],,,,,0
14748,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_1081908_3,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_1081908,3,1309,2844,-1,E,,,,,,,,,,,,,,,0
15061,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_1310888_1,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_1310888,1,522,3437,1,D,,,,,,,,,,Tn3 transposase DDE domain [PF01526.20]; Domain of unknown function (DUF4158) [PF13700.9],,,,,0
15062,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_1310888_2,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_1310888,2,3531,3701,1,E,,,,,,,,,,,,,,,0
15544,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_1950111_1,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_1950111,1,1,414,1,D,,,,,,,,,,Ring hydroxylating alpha subunit (catalytic domain) [PF00848.22],,,,,0
15545,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_1950111_2,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_1950111,2,411,908,1,D,,,,,,,,,,Ring hydroxylating beta subunit [PF00866.21],,,,,0
15546,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_1950111_3,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_1950111,3,967,1977,1,C,K07045,uncharacterized protein,,,,,,,,Amidohydrolase [PF04909.17],,,,,0
15547,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_1950111_4,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_1950111,4,2055,2447,1,D,,,,,,,,,,Endoribonuclease L-PSP [PF01042.24],,,,,0
15548,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid___k121_1950111_5,altamaha_2019_sw_WHONDRS-S19S_0010_B_1000.plasmid__,k121_1950111,5,2479,2925,1,D,,,,,,,,,,Aldolase/RraA [PF03737.18],,,,,0
