,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
0,k121_154552,43827,,42,-0.0,no,0,0,1,0,1,0,0,0
1,k121_602214,36605,,29,0.0,no,0,1,0,0,0,0,0,0
2,k121_388955,30398,,24,-0.0,no,0,1,0,0,0,0,0,0
6,k121_1120838,12062,,10,0.0,no,0,0,1,0,0,0,0,0
7,k121_159198,12013,,7,0.0,no,0,0,1,0,0,0,0,0
8,k121_1862912,11524,,10,0.0,no,0,0,1,0,1,0,0,0
10,k121_238733,9449,,9,0.0,no,0,0,1,0,0,0,0,0
11,k121_2216709,8016,,10,0.0,yes,0,0,1,0,0,0,0,0
30,k121_2223069,4815,,3,0.0,no,0,1,0,0,0,0,0,0
31,k121_2318578,4705,,7,0.0,yes,0,0,1,0,0,0,0,0
32,k121_2233055,4523,,5,-0.4,no,0,1,0,0,0,0,0,0
33,k121_2099788,4462,,5,0.0,no,0,0,1,0,0,0,0,0
34,k121_2003218,4389,,3,0.0,no,0,0,1,0,1,0,0,0
38,k121_1085246,4056,,3,0.0,no,0,0,1,0,1,0,0,0
40,k121_1119067,3951,,5,0.0,no,0,0,1,0,1,0,0,0
49,k121_1607726,3407,,3,0.0,no,0,0,1,0,0,0,0,0
51,k121_449542,3235,,4,0.0,no,0,0,1,0,0,0,0,0
52,k121_570533,3150,,1,1.7,no,0,0,0,0,0,0,0,1
55,k121_2164398,2985,,2,0.0,yes,0,0,1,0,0,0,0,0
60,k121_231869,2725,,2,0.4,no,0,2,0,0,0,0,0,1
63,k121_2260189,2696,,3,0.0,no,0,0,1,0,0,0,0,0
65,k121_213833,2592,,4,0.0,no,0,1,0,0,0,0,0,0
72,k121_1210289,2325,,3,0.0,no,0,0,1,0,0,0,0,0
80,k121_2054616,2137,,1,0.0,no,0,0,1,0,0,0,0,0
88,k121_1647995,1883,,2,0.0,no,0,0,1,0,0,0,0,0
89,k121_1090793,1882,,2,0.0,no,0,0,1,0,0,0,0,0
96,k121_1640195,1841,,1,0.0,no,0,1,0,0,0,0,0,0
98,k121_446648,1823,,2,0.0,no,0,0,1,0,0,0,0,0
99,k121_274198,1818,,3,0.2,no,0,0,0,0,0,0,0,1
100,k121_2189871,1794,,2,0.2,no,0,0,0,0,0,0,0,1
105,k121_1251138,1754,,3,0.0,no,0,0,1,0,0,0,0,0
106,k121_2277232,1719,,3,0.0,no,0,0,1,0,0,0,0,0
113,k121_1764213,1672,,2,0.0,no,0,0,1,0,0,0,0,0
117,k121_1393288,1624,,1,0.1,no,0,0,0,0,0,0,0,1
118,k121_1944378,1602,,2,0.2,no,0,0,0,0,0,0,0,1
121,k121_914817,1571,,1,0.1,no,0,0,0,0,0,0,0,1
127,k121_2251188,1451,,1,0.0,no,0,0,1,0,0,0,0,0
133,k121_1497965,1440,,1,0.0,no,0,1,0,0,0,0,0,0
135,k121_383186,1410,,1,0.0,no,0,1,0,0,0,0,0,0
138,k121_1402401,1381,,1,0.4,no,0,0,0,0,0,0,0,1
139,k121_910920,1371,,1,0.1,no,0,0,0,0,0,0,0,1
140,k121_902527,1369,,3,0.1,no,0,0,0,0,0,0,0,1
141,k121_1588746,1364,,1,0.1,no,0,0,0,0,0,0,0,1
143,k121_374702,1360,,1,0.1,no,0,0,0,0,0,0,0,1
144,k121_1740375,1354,,1,0.4,no,0,0,0,0,0,0,0,1
152,k121_2169728,1320,,1,0.0,no,0,0,1,0,0,0,0,0
155,k121_1868036,1296,,1,0.0,no,0,0,1,0,0,0,0,0
161,k121_2034318,1255,,1,0.1,no,0,0,0,0,0,0,0,1
162,k121_2155453,1253,,1,0.4,no,0,0,0,0,0,0,0,1
164,k121_1837780,1249,,1,0.1,no,0,0,0,0,0,0,0,1
172,k121_1494540,1225,,2,0.0,no,0,0,1,0,0,0,0,0
179,k121_974508,1208,,1,0.4,no,0,0,0,0,0,0,0,1
191,k121_2037644,1148,,2,1.8,no,0,0,0,0,0,0,0,0
207,k121_549217,1090,,2,0.1,no,0,0,0,0,0,0,0,1
209,k121_2004659,1084,,1,0.6,no,0,0,0,0,0,0,0,1
215,k121_1632191,1071,,1,3.5,no,0,0,0,0,0,0,0,1
225,k121_192684,1026,,1,1.6,no,0,0,0,0,0,0,0,0
227,k121_433658,1016,,1,0.1,no,0,0,0,0,0,0,0,1
