,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
7,k121_499817,9754,,10,0.0,no,0,0,1,0,0,0,0,0
45,k121_1360693,3976,,3,0.0,no,0,0,1,0,0,0,0,0
48,k121_521546,3660,,2,0.1,no,0,0,0,0,0,0,0,1
52,k121_2323005,3248,,1,1.7,no,0,0,0,0,0,0,0,1
64,k121_1660633,2614,,2,0.0,no,0,0,1,0,0,0,0,0
82,k121_1523189,2341,,1,0.1,no,0,0,0,0,0,0,0,1
92,k121_1083507,2152,,1,0.1,no,0,0,0,0,0,0,0,1
130,k121_1887392,1825,,1,0.1,no,0,0,0,0,0,0,0,1
131,k121_1217417,1815,,1,1.2,no,0,0,0,0,0,0,0,0
139,k121_1024896,1740,,1,0.1,no,0,0,0,0,0,0,0,1
163,k121_2156663,1543,,1,13.8,no,0,0,0,0,0,0,0,0
167,k121_1219388,1514,,1,0.6,no,0,0,0,0,0,0,0,1
202,k121_2133401,1350,,1,0.1,no,0,0,0,0,0,0,0,1
204,k121_2164275,1347,,1,0.1,no,0,0,0,0,0,0,0,1
216,k121_1354493,1315,,1,0.1,no,0,0,0,0,0,0,0,1
219,k121_1400830,1308,,1,0.1,no,0,0,0,0,0,0,0,1
241,k121_1823893,1242,,1,0.6,no,0,0,0,0,0,0,0,1
254,k121_1109613,1217,,1,0.1,no,0,0,0,0,0,0,0,1
283,k121_2675140,1158,,1,0.1,no,0,0,0,0,0,0,0,1
317,k121_457248,1091,,1,0.1,no,0,0,0,0,0,0,0,1
322,k121_1851789,1078,,1,0.0,no,0,0,1,0,0,0,0,0
